"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C7,C5,C3,C1,C8,C6,C4,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";8;"1uF";;;
2;"PS2,PS4,PS3,PS1";"LIB_RFM-0505S";4;"RFM-0505S";;;
3;"I2C_Input1";"JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal";1;"~";;;
4;"U3,U4,U2,U1";"LIB_SI8600AD-B-IS";4;"SI8600AC-B-ISR";;;
5;"R3,R18,R17,R13,R14,R12,R11,R5,R6,R2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";10;"10Kohm";;;
6;"TP3,TP4,TP2,TP1";"TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded";4;"TestPoint";;;
7;"R19";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"470 Ohm";;;
8;"D1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"~";;;
9;"Q4,Q3,Q2,Q1";"SOT96P237X111-3N";4;"BVSS138LT1G";;;
10;"R16,R15,R8,R9,R10,R7,R4,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";8;"1M";;;
11;"J10,J12,J7,J9,J6,J3,J2,J1";"PinHeader_1x03_P2.54mm_Vertical";8;"Conn_01x03";;;
12;"J11,J8,J5,J4";"LIB_132289";4;"132289";;;
